City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,chokurdakh,70.6333,147.9167,0.3900000000000432,98,100,5.48,RU,1685202516
156,arraias,-12.9288,-46.9437,30.670000000000016,32,44,2.86,BR,1685202517
157,kaitangata,-46.2817,169.8464,6.2000000000000455,87,0,1.96,NZ,1685202518
158,antsohihy,-14.8796,47.9875,26.700000000000045,54,0,5.06,MG,1685202519
159,tuatapere,-46.1333,167.6833,7.470000000000027,88,17,2.7,NZ,1685202520
160,luderitz,-26.6481,15.1594,14.160000000000025,72,0,4.26,NA,1685202521
161,bredasdorp,-34.5322,20.0403,11.640000000000043,63,1,2.39,ZA,1685202301
162,banjar,-8.19,114.9675,23.02000000000004,88,31,3.17,ID,1685202523
163,sola,-13.8833,167.55,21.370000000000005,94,20,0.0,VU,1685202524
164,buraydah,26.326,43.975,38.25,12,28,3.94,SA,1685202410
165,kisangani,0.5167,25.2,26.400000000000034,72,64,0.39,CD,1685202525
166,lebu,-37.6167,-73.65,10.090000000000032,60,16,4.86,CL,1685202526
167,andenes,69.3143,16.1194,4.400000000000034,81,100,10.29,NO,1685202527
168,east london,-33.0153,27.9116,18.52000000000004,72,0,3.09,ZA,1685202528
169,kintampo,8.0563,-1.7306,32.200000000000045,53,100,2.4,GH,1685202529
170,limon,10.0,-83.0333,31.700000000000045,70,0,2.06,CR,1685202530
171,kuvandyk,51.4781,57.3552,21.74000000000001,44,72,4.25,RU,1685202531
172,saint-philippe,-21.3585,55.7679,23.77000000000004,86,76,6.76,RE,1685202532
173,carnarvon,-24.8667,113.6333,20.939999999999998,36,100,6.79,AU,1685202533
174,esso,55.9333,158.7,-0.6099999999999568,90,42,1.03,RU,1685202534
175,nuuk,64.1835,-51.7216,1.3400000000000318,100,100,14.92,GL,1685202535
176,hua hin,12.5707,99.9588,28.930000000000007,64,10,3.81,TH,1685202536
177,ponta do sol,32.6667,-17.1,22.350000000000023,76,58,2.97,PT,1685202537
178,imeni poliny osipenko,52.4201,136.4853,2.2000000000000455,87,65,5.27,RU,1685202538
179,flinders,-34.5833,150.8552,8.54000000000002,69,0,0.89,AU,1685202539
180,lebowakgomo,-24.2,29.5,17.5,68,100,3.21,ZA,1685202540
